Date,Name,Year,Letterboxd URI,Rating
2020-07-12,Thor: The Dark World,2013,https://boxd.it/2DqA,0.5
2020-07-12,Deadpool,2016,https://boxd.it/9fOC,2
2020-07-12,Suicide Squad,2016,https://boxd.it/9row,0.5
2020-07-12,The Incredibles,2004,https://boxd.it/1XLm,3.5
2020-07-12,The Babysitter,2017,https://boxd.it/eP1w,2
2020-07-12,The Revenant,2015,https://boxd.it/8H5e,3
2020-07-12,Justice League,2017,https://boxd.it/4w68,1.5
2020-07-12,John Wick,2014,https://boxd.it/7dEc,3.5
2020-07-12,The Visit,2015,https://boxd.it/9ssO,4
2020-07-12,The Amazing Spider-Man,2012,https://boxd.it/27PI,1.5
2020-07-12,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,0.5
2020-07-12,The Bye Bye Man,2017,https://boxd.it/9b2k,0.5
2020-07-12,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2020-07-12,Ad Astra,2019,https://boxd.it/ePzI,3
2020-07-12,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3
2020-07-12,The Last Portrait,2016,https://boxd.it/pAXM,4
2020-07-12,Repulsion,1965,https://boxd.it/1TKu,5
2020-07-12,Scoob!,2020,https://boxd.it/dqh8,2
2020-07-12,Batman Begins,2005,https://boxd.it/2aIg,3
2020-07-12,300,2006,https://boxd.it/28XI,3
2020-07-12,Watchmen,2009,https://boxd.it/1QE4,2
2020-07-12,The Two Popes,2019,https://boxd.it/k8Xk,4
2020-07-12,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4
2020-07-13,Blue Velvet,1986,https://boxd.it/29BI,5
2020-07-14,Aquarius,2016,https://boxd.it/d6YQ,5
2020-07-15,Hour of the Wolf,1968,https://boxd.it/1H9G,4
2020-07-17,The Dark Knight,2008,https://boxd.it/2b0k,5
2020-07-17,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje,5
2020-07-17,No Country for Old Men,2007,https://boxd.it/21ew,5
2020-07-19,Big Fish,2003,https://boxd.it/2a3M,4
2020-07-19,Alice in Wonderland,2010,https://boxd.it/1Spq,3
2020-07-20,A Velha a Fiar,1964,https://boxd.it/aM32,4
2020-07-20,Alice Through the Looking Glass,2016,https://boxd.it/75Yo,1
2020-07-21,The Elephant Man,1980,https://boxd.it/27LQ,4
2020-07-22,True Grit,2010,https://boxd.it/Sog,3.5
2020-07-22,Un Chien Andalou,1929,https://boxd.it/29Y8,5
2020-07-23,Anima,2019,https://boxd.it/mxuc,3.5
2020-07-23,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2020-07-23,Ford v Ferrari,2019,https://boxd.it/ce74,2.5
2020-07-23,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2020-07-23,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2020-07-23,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2020-07-23,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2020-07-23,Toy Story 2,1999,https://boxd.it/29qq,3.5
2020-07-23,Toy Story,1995,https://boxd.it/29qA,4
2020-07-23,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2020-07-23,The Hateful Eight,2015,https://boxd.it/8gw8,4
2020-07-23,Wild Strawberries,1957,https://boxd.it/29ZU,5
2020-07-25,The Social Network,2010,https://boxd.it/17ue,4
2020-07-25,Inception,2010,https://boxd.it/1skk,3
2020-07-25,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3
2020-07-25,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2020-07-25,Rise of the Guardians,2012,https://boxd.it/2PXw,2
2020-07-25,Loving Vincent,2017,https://boxd.it/biIQ,4
2020-07-26,Death Note,2017,https://boxd.it/bOS4,2
2020-07-26,Stagecoach,1939,https://boxd.it/297S,4
2020-07-27,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,4
2020-07-29,Memento,2000,https://boxd.it/2bcK,3.5
2020-07-29,Finding Nemo,2003,https://boxd.it/72i,3.5
2020-07-29,Cries and Whispers,1972,https://boxd.it/1WK8,5
2020-07-30,Twenty Years Later,1984,https://boxd.it/33Oo,5
2020-07-30,A Dog's Will,2000,https://boxd.it/12u4,4
2020-07-31,Frenzy,1972,https://boxd.it/2a62,4.5
2020-08-01,The Sixth Sense,1999,https://boxd.it/29Js,4
2020-08-01,Glass,2019,https://boxd.it/g3uO,3.5
2020-08-01,Split,2016,https://boxd.it/dgSy,4
2020-08-02,Dimensions of Dialogue,1983,https://boxd.it/1FPq,4
