Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-02-24,I Care a Lot,2020,https://boxd.it/1GroeV,2,,Só consigo pensar no que o Tarantino teria feito com esse plot,,2021-02-23
2021-02-28,Come and See,1985,https://boxd.it/1GXqvX,5,,"Acho interessante esse título do filme ""Vá e veja"" (come and see), pois o filme é literalmente um convite para uma perturbadora ""visita"" a este meio caótico da guerra. 

Suas chocantes cenas nos colocam cara a cara a toda a crueldade e brutalidade deste cenário, e deixo aqui um destaque para o trabalho de som que potencializa em muito essa experiência.

A narrativa é imprevisível e vagueia por caminhos improváveis, de tal forma que o acontecimento seguinte acaba sempre surpreendendo.

Sem dúvidas este filme é uma das mais fascinantes e intensas representações da guerra e um dos melhores filme que já assisti.",,2021-02-28
2021-03-16,Judas and the Black Messiah,2021,https://boxd.it/1J7c8D,4,,"Acho que o grande destaque deste filme é a ótima atuação de Daniel Kaluuya. Em cenas mais intensas, principalmente de discursos, ele se sai muito bem e entrega uma emoção genuína em cada gesto e expressão facial. 

Gosto das cenas iniciais do filme e de como a trama vai se desenrolando neste começo. Porém, tive a sensação de que o filme se arrasta um pouco na sua metade, já que a condução da história fica menos dinâmica e os acontecimentos parecem perder a gradação que vinha a acontecer antes da prisão de Fred, quebrando assim o ritmo da narrativa. 

No entanto, o filme recupera a tensão em seu último terço e entrega, para mim, sua cena mais forte e impactante na conclusão. Claro que, por eu não conhecer previamente a biografia de Hampton, não esperava que o final se concretizasse de tal forma. 

Esta era uma das obras desta temporada de premiações que mais aguardava e acredito que talvez tenha criado expectativas de mais. Mesmo me decepcionando com alguns aspectos, Sasha King nos oferece um interessante e importante olhar sobre os Panteras Negras em ""Judas e Messias Negro"".","daniel kaluuya, sasha king, 2021, oscar, panteras negras, português, brasil",2021-03-16
2021-03-18,Promising Young Woman,2020,https://boxd.it/1JlQUv,4,,I'm a nice guy!,,2021-03-17
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/1Juuf9,4,,"Não sou um grande admirador dos filmes do Snyder, mas tenho que admitir que esse aqui eu realmente gostei. Aliás, este me parece ser seu melhor trabalho até então.",,2021-03-19
2021-03-20,Ombres,2021,https://boxd.it/1JwtUJ,5,,"Curti a sacada na parte sonora. Durante todo o curta o som das ondas, do vento e dos passos são bem nítidos e destacados, fazendo com que o completo silêncio nos segundos finais sejam sufocantes e, consequentemente, arrebatadores.

Fiquei arrepiado aqui. Muito bom!",,2021-03-19
2021-03-20,Watchmen,2009,https://boxd.it/1JwTLX,2,,Zack Snyder não entendeu Watchmen.,,
2021-03-24,Dreams,1990,https://boxd.it/1KbEcF,4,,"Interessante como a mensagem final do filme sobre valorizar os aspectos mais simples da vida se relaciona à forma que Kurosawa opta por utilizar aqui. Os movimentos de câmera são discretos e as cenas possuem apenas os cortes essenciais, de tal maneira que certos monólogos chegam a beirar o teatral em certos momentos.

Aliás, este é o tipo de filme em que você sente que o diretor não está totalmente interessado em contar uma história, mas sim em utilizar dos personagens e cenários para falar diretamente conosco, mesmo não ocorrendo uma quebra da quarta parede.",,2021-03-23
2021-03-25,Pas de Deux,1968,https://boxd.it/1Kh4KX,5,,Percebi que todas as obras mais surreais e contemplativas que assisto me remetem à Pink Floyd em algum nível.,,2021-03-24
2021-04-17,Fantastic Mr. Fox,2009,https://boxd.it/1NCkSR,3.5,,"Admiro muito o trabalho técnico desta animação stop motion e acho realmente fantástico esse visual colorido e vívido que o Wes Anderson nos apresenta em ""Fantastic Mr. Fox"".

Outra característica presente aqui que gosto muito é esse humor irônico que se mostra muito inteligente em algumas cenas.

É evidente também que a relação entre o Ash e o Kristofferson é recheada de humor, porém este parece não funcionar tão bem principalmente por apostar em repetições e utilizar de algumas convenções muito batidas, que soam bobas em meio a um filme não tão infantil.

Além disso, me desagradou a forma seca e apressada com a qual os acontecimentos se sucedem, fazendo com que eu não conseguisse me engajar tanto assim na história. Isso acabou pesando bastante na minha percepção final da obra e me deixou com aquela decepcionante sensação de ""poderia ser melhor"".",,2021-04-16
