Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-01-04,Notting Hill,1999,https://boxd.it/1yXe4D,3,,,2021-01-04
2021-01-06,Steamboat Willie,1928,https://boxd.it/1zc4M1,3.5,,,2021-01-05
2021-01-06,Star Wars,1977,https://boxd.it/1zc4SN,4.5,,,2021-01-05
2021-01-06,Never Rarely Sometimes Always,2020,https://boxd.it/1zflyL,5,,,2021-01-05
2021-01-07,The Empire Strikes Back,1980,https://boxd.it/1zkiqz,5,,,2021-01-06
2021-01-10,Sound of Metal,2019,https://boxd.it/1zNIFN,4,,,2021-01-09
2021-01-11,The Metamorphosis of Birds,2020,https://boxd.it/1A0uqF,4,,,2021-01-11
2021-01-15,Dick Johnson Is Dead,2020,https://boxd.it/1ACvAH,4.5,,,2021-01-14
2021-01-17,Mad Max: Fury Road,2015,https://boxd.it/1AXglJ,5,Yes,,2021-01-16
2021-01-18,Russian Ark,2002,https://boxd.it/1B3sAD,5,,,2021-01-17
2021-01-22,Pieces of a Woman,2020,https://boxd.it/1BH48F,3,,,2021-01-22
2021-01-24,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/1BZ1BF,4.5,,,2021-01-23
2021-01-25,Solaris,1972,https://boxd.it/1CaZlp,4.5,,,2021-01-25
2021-01-26,Dancer in the Dark,2000,https://boxd.it/1Cj8tD,4.5,,,2021-01-26
2021-01-27,Return of the Jedi,1983,https://boxd.it/1CnioL,3,,,2021-01-26
2021-01-27,Skull: The Mask,2020,https://boxd.it/1CqcZR,3,,,2021-01-26
2021-01-28,Santa Sangre,1989,https://boxd.it/1Cysuh,5,,,2021-01-28
2021-01-30,WandaVision,2021,https://boxd.it/1CMs2b,4,,,2021-01-29
2021-02-04,Vampyr,1932,https://boxd.it/1DytS9,3,,,2021-02-03
2021-02-05,Wonder Woman 1984,2020,https://boxd.it/1DEapp,2.5,,,2021-02-04
2021-02-06,Malcolm & Marie,2021,https://boxd.it/1DOmKT,3.5,,,2021-02-05
2021-02-07,Dersu Uzala,1975,https://boxd.it/1DYyXv,5,,,2021-02-06
2021-02-14,Scott Pilgrim vs. the World,2010,https://boxd.it/1EVVkJ,4.5,Yes,,2021-02-13
2021-02-15,X-Men: Days of Future Past,2014,https://boxd.it/1F2e8f,4,Yes,,2021-02-14
2021-02-16,Fear and Desire,1952,https://boxd.it/1FhpA5,3,,,2021-02-15
2021-02-24,I Care a Lot,2020,https://boxd.it/1GroeV,2,,,2021-02-23
2021-02-28,Come and See,1985,https://boxd.it/1GXqvX,5,,,2021-02-28
2021-03-06,WandaVision,2021,https://boxd.it/1HHcdx,3.5,Yes,,2021-03-05
2021-03-07,First Reformed,2017,https://boxd.it/1HTF9D,5,,,2021-03-07
2021-03-10,Mulholland Drive,2001,https://boxd.it/1IjCcV,5,,,2021-03-10
2021-03-12,Taxi Driver,1976,https://boxd.it/1IxrUl,4.5,,,2021-03-11
2021-03-16,Judas and the Black Messiah,2021,https://boxd.it/1J7c8D,4,,"daniel kaluuya, sasha king, 2021, oscar, panteras negras, português, brasil",2021-03-16
2021-03-18,Promising Young Woman,2020,https://boxd.it/1JlQUv,4,,,2021-03-17
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/1Juuf9,4,,,2021-03-19
2021-03-20,Le Temps Passe,2020,https://boxd.it/1JwpsB,4,,,2021-03-19
2021-03-20,Umbral,2020,https://boxd.it/1Jwqjb,4.5,,,2021-03-19
2021-03-20,Ombres,2021,https://boxd.it/1JwtUJ,5,,,2021-03-19
2021-03-20,Day of the Fight,1951,https://boxd.it/1JCzp5,3.5,,,2021-03-20
2021-03-23,Double King,2017,https://boxd.it/1JZ2uH,3.5,,,2021-03-22
2021-03-23,A Trip to the Moon,1902,https://boxd.it/1JZ5Xd,5,,,2021-03-22
2021-03-23,The Astronomer's Dream,1898,https://boxd.it/1JZ795,5,,,2021-03-22
2021-03-24,Dreams,1990,https://boxd.it/1KbEcF,4,,,2021-03-23
2021-03-25,Pas de Deux,1968,https://boxd.it/1Kh4KX,5,,,2021-03-24
2021-03-26,Metropolis,1927,https://boxd.it/1KrECZ,5,,,2021-03-26
2021-03-27,Seven Samurai,1954,https://boxd.it/1Kzgdn,5,,,2021-03-27
2021-03-28,The Holy Mountain,1973,https://boxd.it/1KIknz,4,,,2021-03-27
2021-03-30,The Evil Dead,1981,https://boxd.it/1L1eKZ,5,,,2021-03-29
2021-04-02,They Live,1988,https://boxd.it/1LprTX,4.5,,,2021-04-01
2021-04-03,Battleship Potemkin,1925,https://boxd.it/1LyGJB,4,,,2021-04-02
2021-04-04,First Blood,1982,https://boxd.it/1LJyGV,5,,,2021-04-03
2021-04-06,Barry Lyndon,1975,https://boxd.it/1M54qd,4.5,,,2021-04-05
2021-04-07,Eraserhead,1977,https://boxd.it/1Mcbfb,4,,,2021-04-06
2021-04-08,The Rink,1916,https://boxd.it/1MjXZ1,3.5,,,2021-04-07
2021-04-09,Punch-Drunk Love,2002,https://boxd.it/1MsupB,5,,,2021-04-08
2021-04-11,Breathless,1960,https://boxd.it/1MLTX7,3.5,,,2021-04-10
2021-04-13,Cinema Paradiso,1988,https://boxd.it/1N6erh,4.5,,,2021-04-12
2021-04-14,Ivan's Childhood,1962,https://boxd.it/1NeaxV,5,,,2021-04-13
2021-04-17,Fantastic Mr. Fox,2009,https://boxd.it/1NCkSR,3.5,,,2021-04-16
2021-04-19,Autumn Sonata,1978,https://boxd.it/1NXyZJ,5,,,2021-04-18
2021-04-20,Lost Highway,1997,https://boxd.it/1O63Ib,4.5,,,2021-04-19
2021-04-22,The Life Ahead,2020,https://boxd.it/1OlwaH,3.5,,,2021-04-21
2021-04-24,The Father,2020,https://boxd.it/1OCiFZ,5,,,2021-04-23
2021-04-25,Nomadland,2020,https://boxd.it/1ONpYB,3.5,,,2021-04-24
2021-04-27,Save Ralph,2021,https://boxd.it/1P5mm1,3.5,,,2021-04-26
2021-04-29,The Machine,2005,https://boxd.it/1PoB4f,3,,,2021-04-28
2021-05-01,Maria Life,2007,https://boxd.it/1Pxab7,4,,,2021-04-30
2021-05-02,The Secret in Their Eyes,2009,https://boxd.it/1PKK2L,4.5,,,2021-05-01
2021-05-04,Being John Malkovich,1999,https://boxd.it/1Q6DDf,4.5,,,2021-05-03
2021-05-07,Friendly Beast,2017,https://boxd.it/1Qt9tb,3,,,2021-05-06
2021-05-08,O Lobinho Nunca Mente,2007,https://boxd.it/1QwjAx,5,,,2021-05-07
2021-05-09,"I Travel Because I Have to, I Come Back Because I Love You",2009,https://boxd.it/1QJAJR,3,,,2021-05-08
2021-05-12,Documentário,1966,https://boxd.it/1R6Sg5,4,,,2021-05-11
2021-05-12,Cold Tropics,2009,https://boxd.it/1R789p,4,,,2021-05-11
2021-05-13,The Red Light Bandit,1968,https://boxd.it/1Rg9Up,4.5,,,2021-05-12
2021-05-14,Brainstorm,2000,https://boxd.it/1RnDQh,5,,,2021-05-13
2021-05-16,Green Vinyl,2004,https://boxd.it/1RDlEp,4,,,2021-05-15
2021-05-17,Serpico,1973,https://boxd.it/1RQ1Sn,5,,,2021-05-16
2021-05-19,Oldboy,2003,https://boxd.it/1S5ufz,5,,,2021-05-18
2021-05-21,Broken Embraces,2009,https://boxd.it/1Sj75z,3.5,,,2021-05-20
2021-05-24,The Woman in the Window,2021,https://boxd.it/1SKiCj,2,,,2021-05-23
2021-05-24,At Land,1944,https://boxd.it/1SKyuZ,3,,,2021-05-24
2021-05-25,Witch's Cradle,1944,https://boxd.it/1SRdNZ,4.5,,,2021-05-24
2021-05-25,Akira,1988,https://boxd.it/1SSM69,5,,,2021-05-24
2021-05-26,The Young and the Damned,1950,https://boxd.it/1SZED9,4.5,,,2021-05-25
2021-05-27,Ritual in Transfigured Time,1946,https://boxd.it/1T5VsT,3.5,,,2021-05-26
2021-05-27,The Passion of Anna,1969,https://boxd.it/1T7fRh,4,,,2021-05-26
2021-05-30,The Turin Horse,2011,https://boxd.it/1Tv0r7,5,,,2021-05-29
2021-05-31,Suspiria,1977,https://boxd.it/1TFQun,4.5,,,2021-05-30
2021-06-03,Suspiria,2018,https://boxd.it/1U514P,4.5,,,2021-06-02
2021-06-04,Her,2013,https://boxd.it/1UcHaz,5,,,2021-06-03
2021-06-07,mother!,2017,https://boxd.it/1UE3Tl,3.5,,,2021-06-06
2021-06-26,Evil Dead II,1987,https://boxd.it/1X008X,5,,,2021-06-25
2021-06-29,Black Swan,2010,https://boxd.it/1XqjKN,5,,,2021-06-28
2021-06-30,Enter the Void,2009,https://boxd.it/1XymQv,4,,,2021-06-29
2021-07-05,Melancholia,2011,https://boxd.it/1YgGWh,3.5,,,2021-07-04
2021-07-09,The Virgin Suicides,1999,https://boxd.it/1YPfbN,4,,,2021-07-08
2021-07-12,Estômago: A Gastronomic Story,2007,https://boxd.it/1ZkJ4z,4,,,2021-07-12
2021-07-14,Antichrist,2009,https://boxd.it/1ZB0GH,2,,,2021-07-13
2021-07-16,Mirror,1975,https://boxd.it/1ZSn1B,5,,,2021-07-15
2021-07-17,Boogie Nights,1997,https://boxd.it/202kTZ,5,,,2021-07-16
2021-07-18,Heat,1995,https://boxd.it/20dlbL,5,,,2021-07-17
2021-07-22,F9,2021,https://boxd.it/20MTYR,1.5,,,2021-07-21
2021-07-28,Signs,2002,https://boxd.it/21Hbjf,4.5,,,2021-07-27
2021-07-29,Pink Floyd: The Wall,1982,https://boxd.it/21PMiT,4.5,,,2021-07-28
2021-08-01,Old,2021,https://boxd.it/22cRFp,3.5,,,2021-07-31
2021-08-04,The Color of Pomegranates,1969,https://boxd.it/22HhR7,4,,,2021-08-03
2021-08-05,Pig,2021,https://boxd.it/22QpXF,3,,,2021-08-04
2021-09-02,The Enigma of Kaspar Hauser,1974,https://boxd.it/26QsgF,4,,,2021-09-01
2021-09-06,The Suicide Squad,2021,https://boxd.it/27sjrl,4.5,,,2021-09-05
2021-09-18,The Sacrifice,1986,https://boxd.it/297sVZ,5,,,2021-09-18
2021-10-11,The Conversation,1974,https://boxd.it/2ckRXT,4.5,,,2021-10-10
2021-10-23,Fight Club,1999,https://boxd.it/2e68UZ,4,,,2021-10-22
2021-10-23,Halloween,1978,https://boxd.it/2e7Uql,5,,,2021-10-22
2021-10-23,Us,2019,https://boxd.it/2e88Rb,3.5,,,2021-10-22
2021-10-23,The Perks of Being a Wallflower,2012,https://boxd.it/2e9nwf,4.5,,,2021-10-22
2021-10-25,The Matrix,1999,https://boxd.it/2erFq1,5,,,2021-10-24
2021-10-25,Gran Torino,2008,https://boxd.it/2ewH4V,4,,,2021-10-24
2021-10-26,Superbad,2007,https://boxd.it/2eH43B,4,,,2021-10-25
2021-11-01,It Follows,2014,https://boxd.it/2fzk07,3.5,,,2021-10-31
2021-12-01,Perfect Blue,1997,https://boxd.it/2ke8gP,4,,,2021-11-30
2021-12-06,A Bruddah's Mind,2020,https://boxd.it/2l4fJt,4,,,2021-12-05
2021-12-13,Catch Me If You Can,2002,https://boxd.it/2m6DI3,4.5,,,2021-12-12
