Date,Name,Year,Letterboxd URI
2023-08-03,Face/Off,1997,https://boxd.it/29I0
2023-08-04,The Pit and the Pendulum,1961,https://boxd.it/1prM
2023-08-05,Safe,1995,https://boxd.it/1gKU
2023-08-05,The Day Dorival Faced the Guards,1986,https://boxd.it/5Mn2
2023-08-10,The Idiots,1998,https://boxd.it/2amu
2023-08-11,Deliverance,1972,https://boxd.it/1VGk
2023-08-16,Speed Racer,2008,https://boxd.it/20UQ
2023-08-19,Caravaggio,1986,https://boxd.it/1DjC
2023-08-21,The Magician,1958,https://boxd.it/1nse
2023-08-21,Pictures of Ghosts,2023,https://boxd.it/G55S
2023-08-24,Daisies,1966,https://boxd.it/LZk
2023-08-26,Alice,1988,https://boxd.it/1G3C
2023-08-27,Penda's Fen,1974,https://boxd.it/4oQW
2023-08-27,Afire,2023,https://boxd.it/y06K
2023-08-28,The Hunger,1983,https://boxd.it/1Tk2
2023-09-08,Tusk,2014,https://boxd.it/7eoa
2023-10-03,Bottoms,2023,https://boxd.it/uGf2
2023-10-04,"Paris, Texas",1984,https://boxd.it/29Ts
2023-10-05,The Stendhal Syndrome,1996,https://boxd.it/13GK
2023-10-06,Stop Making Sense,1984,https://boxd.it/1ygo
2023-10-08,Nosferatu the Vampyre,1979,https://boxd.it/21J0
2023-10-08,War and Peace,1966,https://boxd.it/1nRy
2023-10-08,Contact,1997,https://boxd.it/29OM
2023-10-20,Boyhood,2014,https://boxd.it/3178
2023-10-21,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-10-22,Death App,2018,https://boxd.it/tJcI
2023-10-31,The Night of the Hunter,1955,https://boxd.it/25HW
2023-11-03,The Killer,2023,https://boxd.it/u6WE
2023-11-04,Mango Yellow,2002,https://boxd.it/2O12
2023-11-04,Limite,1931,https://boxd.it/20iW
2023-11-04,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2023-11-04,Minutes Past Midnight,2016,https://boxd.it/eGVU
2023-11-05,The Woman of Everyone,1969,https://boxd.it/5OgW
2023-11-21,The Man That Was Turned Into Juice,1980,https://boxd.it/59GE
2023-11-21,The Strange World of Coffin Joe,1968,https://boxd.it/3CAc
2023-11-21,The Prophet of Hunger,1970,https://boxd.it/5SQO
