Date,Name,Year,Letterboxd URI
2020-09-13,X-Men,2000,https://boxd.it/1a7s
2020-09-13,X-Men: The Last Stand,2006,https://boxd.it/1a5Q
2020-09-13,X2,2003,https://boxd.it/1a7i
2020-09-15,The Social Dilemma,2020,https://boxd.it/opQI
2020-09-15,The Karate Kid Part II,1986,https://boxd.it/1ZJM
2020-09-16,Knock Knock,2015,https://boxd.it/7Q9s
2020-09-16,Cuties,2020,https://boxd.it/lqPg
2020-09-17,The Devil All the Time,2020,https://boxd.it/i2tY
2020-09-19,Elephant,2003,https://boxd.it/287i
2020-09-21,The Karate Kid Part III,1989,https://boxd.it/1W7q
2020-09-21,Casper,1995,https://boxd.it/1ZMw
2020-09-21,School of Rock,2003,https://boxd.it/28xK
2020-09-24,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2020-09-24,Lady Bird,2017,https://boxd.it/dGNE
2020-09-26,Enola Holmes,2020,https://boxd.it/hX2o
2020-09-26,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2020-09-26,Kick-Ass,2010,https://boxd.it/1zaQ
2020-09-26,Kick-Ass 2,2013,https://boxd.it/hqu
2020-09-27,The Big Short,2015,https://boxd.it/ajZw
2020-09-27,Phantom Thread,2017,https://boxd.it/e4uc
2020-09-29,The Post,2017,https://boxd.it/fTeG
2020-10-03,Mission: Impossible,1996,https://boxd.it/29d2
2020-10-04,Necropolis Symphony,2014,https://boxd.it/8Yos
2020-10-07,Dracula,2020,https://boxd.it/ozuM
2020-10-07,Richard Jewell,2019,https://boxd.it/99Mg
2020-10-07,Bram Stoker's Dracula,1992,https://boxd.it/223a
2020-10-09,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2020-10-09,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS
2020-10-09,Batman: The Killing Joke,2016,https://boxd.it/djxe
2020-10-10,Scooby-Doo,2002,https://boxd.it/1YaQ
2020-10-10,Scooby-Doo 2: Monsters Unleashed,2004,https://boxd.it/1UPA
2020-10-10,Scooby-Doo! The Mystery Begins,2009,https://boxd.it/1Ai2
2020-10-11,Superhero Movie,2008,https://boxd.it/1SM0
2020-10-12,The Do-Over,2016,https://boxd.it/dA2C
2020-10-12,Hubie Halloween,2020,https://boxd.it/mQwm
2020-10-13,Batman & Robin,1997,https://boxd.it/2ar0
2020-10-13,Batman Forever,1995,https://boxd.it/2ara
2020-10-13,Bruce Almighty,2003,https://boxd.it/2aCC
2020-10-13,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s
2020-10-13,Mr. Popper's Penguins,2011,https://boxd.it/kRS
2020-10-13,Dumb and Dumber To,2014,https://boxd.it/3qPk
2020-10-14,Duel,1971,https://boxd.it/29ui
2020-10-17,Hot Pursuit,2015,https://boxd.it/83Vu
2020-10-18,Dunkirk,2017,https://boxd.it/d0Y6
2020-10-20,Sleepy Hollow,1999,https://boxd.it/26u0
2020-10-21,Yesterday There Were Strange Things in the Sky,2020,https://boxd.it/jRlo
2020-10-23,Life of Pi,2012,https://boxd.it/37pC
2020-10-23,Now You See Me,2013,https://boxd.it/2Bsu
2020-10-23,Now You See Me 2,2016,https://boxd.it/99fw
2020-10-23,2012,2009,https://boxd.it/1OE2
2020-10-23,Rio 2,2014,https://boxd.it/5jfy
2020-10-23,Rio,2011,https://boxd.it/NKc
2020-10-23,Once Upon a Time in Rio,2008,https://boxd.it/13MI
2020-10-23,Collateral,2004,https://boxd.it/28F0
2020-10-24,Moonwalker,1988,https://boxd.it/2wrm
2020-11-05,It Comes at Night,2017,https://boxd.it/eLuk
2020-11-05,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2020-11-07,Mean Girls,2004,https://boxd.it/1VNg
2020-11-08,His House,2020,https://boxd.it/l8Qq
2020-11-09,Slumdog Millionaire,2008,https://boxd.it/1S3E
2020-11-09,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
2020-11-11,The Simpsons Movie,2007,https://boxd.it/6YU
2020-11-11,The Shining,1980,https://boxd.it/29Nu
2020-11-11,Gladiator,2000,https://boxd.it/2b9m
2020-11-13,The Aviator,2004,https://boxd.it/26BU
2020-11-16,The Last Airbender,2010,https://boxd.it/1WQK
2020-11-16,After Earth,2013,https://boxd.it/2TSg
2020-11-17,Hush,2016,https://boxd.it/d5ys
2020-11-17,The Haunting of Hill House,2018,https://boxd.it/kfJ0
2020-11-18,Casa Grande,2014,https://boxd.it/81AO
2020-11-19,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm
2020-11-19,Spy Kids,2001,https://boxd.it/1Xcw
2020-11-19,Killer Bean Forever,2008,https://boxd.it/1xtG
2020-11-20,Kiss of the Spider Woman,1985,https://boxd.it/1Tci
2020-11-21,The Dictator,2012,https://boxd.it/2DEW
2020-11-22,Frankenstein,1910,https://boxd.it/265a
2020-11-22,Life of Brian,1979,https://boxd.it/2a4q
2020-11-22,Eyes Wide Shut,1999,https://boxd.it/2axs
2020-11-23,If Anything Happens I Love You,2020,https://boxd.it/qIv4
2020-11-23,Meshes of the Afternoon,1943,https://boxd.it/1sEE
2020-11-25,Don't Hug Me I'm Scared,2011,https://boxd.it/4afW
2020-11-25,Little Man,2006,https://boxd.it/1ZeE
2020-11-25,Scary Movie,2000,https://boxd.it/24CG
2020-11-26,Night at the Museum,2006,https://boxd.it/28wi
2020-11-26,Night at the Museum: Battle of the Smithsonian,2009,https://boxd.it/1H7U
2020-11-26,Night at the Museum: Secret of the Tomb,2014,https://boxd.it/5x3m
2020-11-26,Real Steel,2011,https://boxd.it/147m
2020-11-27,Secret Beyond the Door...,1947,https://boxd.it/2a7O
2020-11-30,Magnolia,1999,https://boxd.it/2aze
2020-12-01,Doctor Strange,2016,https://boxd.it/8MH8
2020-12-01,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-12-01,Rango,2011,https://boxd.it/QPk
2020-12-01,The Age of Innocence,1993,https://boxd.it/1WgM
2020-12-02,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi
2020-12-02,Percy Jackson: Sea of Monsters,2013,https://boxd.it/2D8m
2020-12-03,The Queen's Gambit,2020,https://boxd.it/s1Ym
2020-12-04,Thoroughbreds,2017,https://boxd.it/dVHQ
2020-12-05,A Christmas Carol,2009,https://boxd.it/1HKW
2020-12-05,Zathura: A Space Adventure,2005,https://boxd.it/21mq
2020-12-05,Citizen Kane,1941,https://boxd.it/71O
