Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-04-11,Midnight,2021,https://boxd.it/2K4avh,4.5,,,2022-04-10
2022-04-15,The 355,2022,https://boxd.it/2KO10h,0.5,,,2022-04-14
2022-04-17,Raya and the Last Dragon,2021,https://boxd.it/2L6SeR,4.5,,,2022-04-16
2022-04-17,Death on the Nile,2022,https://boxd.it/2L87qP,0.5,,,2022-04-16
2022-04-25,Avengers: Infinity War,2018,https://boxd.it/2MFv5r,3,Yes,,2022-04-24
2022-04-25,Uncharted,2022,https://boxd.it/2MFEfP,3.5,,,2022-04-24
2022-05-01,Jupiter Ascending,2015,https://boxd.it/2NFFtd,3,,,2022-04-30
2022-05-01,No Exit,2022,https://boxd.it/2NFFYb,5,,,2022-04-30
2022-05-15,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2QajvB,2.5,,,2022-05-08
2022-05-15,Moonfall,2022,https://boxd.it/2QaoKB,2,,,2022-05-14
2022-05-21,Moon Knight,2022,https://boxd.it/2RcPCn,5,,,2022-05-20
2022-05-23,Morbius,2022,https://boxd.it/2RAyBP,0.5,,,2022-05-20
2022-05-23,The Lost City,2022,https://boxd.it/2RAxHx,4,,,2022-05-21
2022-05-29,Mayday,2021,https://boxd.it/2SGMrl,2.5,,,2022-05-28
2022-07-17,The Black Phone,2021,https://boxd.it/31MefN,5,,,2022-07-16
2022-10-29,X,2022,https://boxd.it/3ndpqv,1.5,,,2022-09-24
2022-10-14,Do Revenge,2022,https://boxd.it/3jWbef,4,,,2022-10-13
2022-10-16,Nope,2022,https://boxd.it/3kkJmZ,5,,,2022-10-15
2022-10-16,Bodies Bodies Bodies,2022,https://boxd.it/3kovmJ,1.5,,,2022-10-15
2022-10-20,The Purge,2013,https://boxd.it/3lci6X,2.5,Yes,,2022-10-19
2022-10-22,The Purge: Anarchy,2014,https://boxd.it/3lxyFB,1.5,Yes,,2022-10-19
2022-10-22,The Purge: Election Year,2016,https://boxd.it/3lILmf,3.5,,,2022-10-21
2022-10-29,Pearl,2022,https://boxd.it/3ndotj,4,,,2022-10-28
2022-11-14,Don't Worry Darling,2022,https://boxd.it/3qzd81,1.5,,,2022-11-13
2022-11-14,Smile,2022,https://boxd.it/3qM71z,2,,,2022-11-13
2022-12-22,Normal People,2020,https://boxd.it/3yVBSD,4.5,,,2022-12-10
2022-12-12,Lethal Weapon,1987,https://boxd.it/3wmdi9,4,Yes,,2022-12-11
2022-12-18,Goodnight Mommy,2022,https://boxd.it/3xH9Mv,1.5,,,2022-12-17
2022-12-18,My Policeman,2022,https://boxd.it/3xIGPz,0.5,,,2022-12-17
2022-12-18,Your Christmas Or Mine?,2022,https://boxd.it/3xND09,0.5,,,2022-12-17
2022-12-18,First Daughter,2004,https://boxd.it/3xQk7L,4,,,2022-12-17
2022-12-20,Something from Tiffany's,2022,https://boxd.it/3ykmy5,5,,,2022-12-19
2022-12-21,Fight Club,1999,https://boxd.it/3yvKQp,3,,,2022-12-19
2022-12-21,One Day,2011,https://boxd.it/3yzZOL,3.5,,,2022-12-20
2022-12-21,Se7en,1995,https://boxd.it/3yDjn7,5,,,2022-12-20
2022-12-22,Shaun of the Dead,2004,https://boxd.it/3yOfIn,5,,,2022-12-21
2022-12-22,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/3yQWDz,5,,,2022-12-21
2022-12-22,Everything Everywhere All at Once,2022,https://boxd.it/3ySktl,5,,,2022-12-21
2023-01-01,The Father,2020,https://boxd.it/3Cq17l,5,,,2022-12-31
2023-01-01,Zoolander,2001,https://boxd.it/3Cq33v,4.5,,,2022-12-31
2023-01-01,Interstellar,2014,https://boxd.it/3CvLmV,4.5,,,2022-12-31
2023-01-01,Glass Onion,2022,https://boxd.it/3CwUWZ,3.5,,,2022-12-31
2023-01-05,Upside Down,2012,https://boxd.it/3E3kT1,2,,,2023-01-04
2023-01-11,Terrifier,2016,https://boxd.it/3GxfqL,0.5,,,2023-01-10
2023-01-15,Inception,2010,https://boxd.it/3HEOWZ,4,,,2023-01-14
2023-01-15,Avengers: Endgame,2019,https://boxd.it/3HLPkV,2.5,,,2023-01-14
2023-01-15,Avengers: Endgame,2019,https://boxd.it/3HLPMP,4,Yes,,2023-01-14
2023-01-15,[REC],2007,https://boxd.it/3HNxhX,5,,,2023-01-14
2023-01-18,Halloween Ends,2022,https://boxd.it/3IR5i1,0.5,,,2023-01-17
2023-01-18,Incantation,2022,https://boxd.it/3IR7bh,5,,,2023-01-17
2023-01-18,The Menu,2022,https://boxd.it/3IT6G3,5,,,2023-01-17
2023-01-25,M3GAN,2022,https://boxd.it/3L1dUb,3.5,,,2023-01-24
2023-01-30,Puss in Boots: The Last Wish,2022,https://boxd.it/3MId8V,5,,,2023-01-29
