Date,Name,Year,Letterboxd URI
2021-10-08,"Tbilisi, I Love You",2014,https://boxd.it/7sUu
2021-10-08,"Rotterdam, I Love You",,https://boxd.it/gUJM
2021-10-08,President Evil,2018,https://boxd.it/kqHE
2021-10-13,Dear Death: The Movie,2017,https://boxd.it/uiX0
2021-10-15,Mogul Mowgli,2020,https://boxd.it/oMpq
2021-10-17,Halloween Kills,2021,https://boxd.it/mxzG
2021-10-20,Mon Oncle,1958,https://boxd.it/2apy
2021-10-20,Columbus,2017,https://boxd.it/eCuA
2021-10-27,Dune: Part Two,2024,https://boxd.it/pUfA
2021-10-27,My Name Is Emily,2015,https://boxd.it/c2XW
2021-11-01,Tomorrow I Will Date With Yesterday's You,2016,https://boxd.it/fajw
2021-11-05,The Vanishing,1988,https://boxd.it/1ZTW
2021-11-11,Cinnamon the Movie,2007,https://boxd.it/rdwW
2021-11-18,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm
2021-11-28,Garotas do ABC,2003,https://boxd.it/2GXM
2021-12-03,Southbound,2015,https://boxd.it/bX3Y
2021-12-28,My First Summer,2020,https://boxd.it/rOjg
2022-01-03,Death to 2021,2021,https://boxd.it/yj28
2022-01-08,Pretend It's a City,2021,https://boxd.it/tlWs
2022-01-13,Where the Crawdads Sing,2022,https://boxd.it/psLS
2022-01-13,Pond Life,2018,https://boxd.it/kzQq
2022-01-13,The History of Sound,,https://boxd.it/xFY2
2022-01-13,The Deceived,2020,https://boxd.it/rn3q
2022-01-13,Drifting,2020,https://boxd.it/u3sc
2022-01-16,Rebel Without a Cause,1955,https://boxd.it/2aQu
2022-02-05,Good Luck,2014,https://boxd.it/7hJK
2022-03-02,Parallel Mothers,2021,https://boxd.it/sOP4
2022-03-11,O Sanduíche,2000,https://boxd.it/8jQ6
2022-03-23,Tribute to Zgougou the Cat,2002,https://boxd.it/gsVK
2022-04-25,A Man Named Scott,2021,https://boxd.it/xBYM
2022-05-14,Seventh Code,2013,https://boxd.it/7kC8
2022-06-03,Animal Farm,1954,https://boxd.it/1SWE
2022-06-20,Free Solo,2018,https://boxd.it/iEEq
2022-06-20,The Neon Demon,2016,https://boxd.it/9AnW
2022-06-22,Love and Other Cults,2017,https://boxd.it/fKNM
2022-06-22,We Don't Live Here Anymore,2004,https://boxd.it/1z1O
2022-06-22,The Last Kiss,2006,https://boxd.it/20S6
2022-06-23,Crimes of the Future,2022,https://boxd.it/uTuY
2022-06-27,Vagabond,1985,https://boxd.it/T0u
2022-07-03,Men,2022,https://boxd.it/tlc0
2022-07-04,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM
2022-07-04,After Yang,2021,https://boxd.it/lx5a
